Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ATNHPIUS37181A	Vance County, NC	37181												64.76	66.05	63.42	69.88	71.56	68.45	76.04	75.79	77.35	80.41	84.43	86.44	91.4	94.85	100	104.33	107.89	107.9	110.64	115.42	119.77	122.94	125.86	123.41	118.35	114.76	112.82	107.43	106.63	105.78	109.39	108.68	119.63	125.01
ATNHPIUS37183A	Wake County, NC	37183	27.15	29.28	31.64	35.06	39.09	42.34	46.71	47.9	49.09	55.08	60.49	64.2	65.62	67.12	68.13	69.14	69.91	71.17	72.94	78.02	83.49	86.26	89.69	92.51	95.82	100	103.48	105.5	106.49	108.75	114.37	122.08	129.5	132.73	129.55	124.45	120.91	119.01	121.57	128.13	133.49	141.99	152.85	162.26	169.99
ATNHPIUS37185A	Warren County, NC	37185																		70.56	69.51	69.83	78.09	79.28	78.05	84.55	87.65	100	104.59	111.52	113.13	114.33	127.54	141.48	146.47	154.56	143.71	130.61	125.84	121.67	124.06	123.67	126.13	121.96	127.33	134.71	130.88
ATNHPIUS37187A	Washington County, NC	37187																			80.67	75.66	84.74	87.35	90.23	94.45	95.51	100	105.33	102.68	106.08	113.44	127.11	137.21	141.87	142.08	133.83	131.96	123.84	116.79	119.8	95.71	113.41	114.14	115.02	100.39	
ATNHPIUS37189A	Watauga County, NC	37189																			65.03	67.51	70.39	74.93	79.28	83.75	91.53	100	107.1	111.94	113.91	119.77	128.76	141.29	151.1	153.17	150.14	141.5	133.3	129.63	126.35	124.35	127.23	129.18	133.63	137.61	146.46
ATNHPIUS37191A	Wayne County, NC	37191		38.46	40.51	47.56	51.13	54.97	55.4	51.54	55.42	61.25	60.53	64.18	65.72	68.91	72.6	73.98	74.97	77.54	78.49	81.76	86.01	88.78	91.56	94.26	96.46	100	103.5	105.54	107.61	110.73	115.91	121.82	124.54	126.58	126.74	124.59	121.18	120.81	122.4	119.33	120.31	123.14	121.6	124.92	127.92
ATNHPIUS37193A	Wilkes County, NC	37193												59.03	56.41	59.04	65.39	69.27	69.71	70.08	71.14	77.94	78.83	81.43	88.22	91.63	97.13	100	104.02	105.01	106.98	109.4	112.8	116.48	122.94	125.26	123.21	116.39	112.06	107.86	108.62	106.94	112.21	112.8	113.91	118.23	124.53
ATNHPIUS37195A	Wilson County, NC	37195	27.41	33.79	43.65	48.14	50.92	53.35	58.84	56.47	59.41	64.73	65.77	67.85	69.05	72.63	72.19	73.89	74.72	76.83	77.9	80.75	85.04	87.16	89.45	94.14	96.35	100	104.08	105.31	107.73	108.03	111.03	116.05	118.91	120.09	119.86	114.85	112.84	110.68	111.08	110.3	112.35	110.66	111.41	117.78	120.33
ATNHPIUS37197A	Yadkin County, NC	37197																			73.83	74.63	81.16	83.86	87.72	90.03	94.58	100	101.26	104.16	103.98	106.59	110.4	114.64	117.06	116.14	115.64	113.19	111.64	109.15	106.72	107.62	110.79	111.74	112.58	116.4	118.83
ATNHPIUS37199A	Yancey County, NC	37199																								82.16	85.44	100	107.95	110.39	111.13	118.02	123.12	133.81	145.0	150.81	146.92	140.94	138.99	135.11	128.51	131.17	132.0	132.5	146.72	145.24	148.16
